,Date,Open,High,Low,Close,Adj Close,Volume,Amplitude
0,2020-01-02,115652.0,118573.0,115649.0,118573.0,118573.0,5162700.0,2924.0
1,2020-01-03,118564.0,118792.0,117341.0,117707.0,117707.0,6834500.0,1451.0
2,2020-01-06,117707.0,117707.0,116269.0,116878.0,116878.0,6570000.0,1438.0
3,2020-01-07,116872.0,117076.0,115965.0,116662.0,116662.0,4854100.0,1111.0
4,2020-01-08,116667.0,117335.0,115693.0,116247.0,116247.0,5910500.0,1642.0
5,2020-01-09,116248.0,116820.0,115411.0,115947.0,115947.0,5953500.0,1409.0
6,2020-01-10,115948.0,116745.0,114952.0,115503.0,115503.0,4783400.0,1793.0
7,2020-01-13,115503.0,117333.0,115503.0,117325.0,117325.0,5685100.0,1830.0
8,2020-01-14,117325.0,117705.0,116610.0,117632.0,117632.0,5361700.0,1095.0
9,2020-01-15,117632.0,117632.0,116188.0,116414.0,116414.0,5569400.0,1444.0
10,2020-01-16,116415.0,117106.0,115961.0,116704.0,116704.0,5422700.0,1145.0
11,2020-01-17,116710.0,118479.0,116710.0,118478.0,118478.0,4947200.0,1769.0
12,2020-01-20,118478.0,118862.0,117928.0,118862.0,118862.0,3843500.0,934.0
13,2020-01-21,118861.0,118861.0,117026.0,117026.0,117026.0,5085600.0,1835.0
14,2020-01-22,117035.0,118401.0,117035.0,118391.0,118391.0,5765700.0,1366.0
15,2020-01-23,118391.0,119535.0,116906.0,119528.0,119528.0,6572400.0,2629.0
16,2020-01-24,119528.0,119593.0,118108.0,118376.0,118376.0,4778700.0,1485.0
17,2020-01-27,118347.0,118347.0,114376.0,114482.0,114482.0,6097800.0,3971.0
18,2020-01-28,114482.0,116797.0,114475.0,116479.0,116479.0,5229400.0,2322.0
19,2020-01-29,116494.0,117171.0,115164.0,115385.0,115385.0,5097800.0,2007.0
20,2020-01-30,115375.0,115528.0,112825.0,115528.0,115528.0,6315600.0,2703.0
21,2020-01-31,115518.0,115518.0,113148.0,113761.0,113761.0,6219900.0,2370.0
22,2020-02-03,113761.0,115299.0,113467.0,114629.0,114629.0,5512200.0,1832.0
23,2020-02-04,114631.0,116556.0,114631.0,115557.0,115557.0,5829400.0,1925.0
24,2020-02-05,115563.0,117701.0,115562.0,116028.0,116028.0,7173800.0,2139.0
25,2020-02-06,116033.0,117382.0,114723.0,115190.0,115190.0,7382400.0,2659.0
26,2020-02-07,115190.0,115190.0,113769.0,113770.0,113770.0,6594100.0,1421.0
27,2020-02-10,113771.0,114176.0,112134.0,112570.0,112570.0,7486300.0,2042.0
28,2020-02-11,112574.0,115576.0,112574.0,115371.0,115371.0,6767900.0,3002.0
29,2020-02-12,115371.0,117581.0,115371.0,116674.0,116674.0,8159200.0,2210.0
30,2020-02-13,116660.0,116660.0,114801.0,115662.0,115662.0,5635700.0,1859.0
31,2020-02-14,115663.0,115663.0,114132.0,114381.0,114381.0,5335900.0,1531.0
32,2020-02-17,114381.0,115696.0,114381.0,115309.0,115309.0,0.0,1315.0
33,2020-02-18,115309.0,115309.0,113532.0,114977.0,114977.0,5548400.0,1777.0
34,2020-02-19,114982.0,116545.0,114774.0,116518.0,116518.0,6334100.0,1771.0
35,2020-02-20,116518.0,116552.0,114379.0,114586.0,114586.0,6793000.0,2173.0
36,2020-02-21,114585.0,114585.0,112661.0,113681.0,113681.0,5896200.0,1924.0
37,2020-02-26,,,,,,,
38,2020-02-27,105711.0,106656.0,102984.0,102984.0,102984.0,11237700.0,3672.0
39,2020-02-28,102984.0,104172.0,99951.0,104172.0,104172.0,11228400.0,4221.0
40,2020-03-02,104260.0,107220.0,103779.0,106625.0,106625.0,8858400.0,3441.0
41,2020-03-03,106630.0,108804.0,104405.0,105537.0,105537.0,9385600.0,4399.0
42,2020-03-04,105540.0,107809.0,105042.0,107224.0,107224.0,8410500.0,2767.0
43,2020-03-05,107217.0,107217.0,100536.0,102233.0,102233.0,8598600.0,6681.0
